distrito,poblacion,superficie_ha,densidad,total_kg_recogida_de_muebles,residuos_varios_viapublica_resto,envases,papel_y_cartón,orgánica_hojas_y_ramas,varios_residuos_de_construcción_y_demolición
ARGANZUELA,153304,646.22,237.23190244808268,1798.027,7797.76,3777.08,1058.242,512.6800000000001,2302.17
RETIRO,117918,546.62,215.72207383557134,1557.562,6858.844,13724.2,354.602,169.409,1102.33
SALAMANCA,145702,539.24,270.19879830873083,1097.12,10472.88,7914.0599999999995,73.63,357.77,3716.479
CHAMARTÍN,144796,917.55,157.80720396708628,1429.093,5822.722,5432.44,1310.353,600.3100000000001,5388.04
TETUÁN,160002,537.47,297.69475505609614,3082.64,10550.536,8121.38,148.837,321.88,2442.88
CHAMBERÍ,138204,467.92,295.35818088562144,1730.74,8607.18,9880.0,1655.08,472.44,2315.2
LATINA,241672,2542.72,95.04467656682608,6690.51,4184.8,10978.28,288.91,1379.98,2416.111
CARABANCHEL,262339,1404.83,186.7407444317106,7611.466,7219.529,3133.0,892.046,2320.484,2117.644
USERA,142746,777.77,183.53240675263896,5352.72,4667.2,2022.0,632.159,1432.206,50679.805
PUENTE DE VALLECAS,241603,1496.86,161.40654436620662,425.155,507.452,247.563,58.474,95.684,1015.8979999999999
MORATALAZ,92814,610.32,152.07432166732204,2496.108,2673.035,5961.104,324.33,1065.924,4947.94
CIUDAD LINEAL,220345,1142.57,192.8503286450721,4360.821,5536.668,3421.7,893.542,1358.042,4218.644
HORTALEZA,198391,2741.98,72.35319003056186,4622.666,5627.993,3802.15,939.567,2929.389,5593.908
VILLAVERDE,159038,2018.76,78.78004319483247,6025.604,5678.257,2075.0,716.196,1951.688,1567.237
VILLA DE VALLECAS,117501,5146.72,22.830268598252868,202.207,162.08800000000002,281.322,34.431,35.205,462.34599999999995
VICÁLVARO,83804,3526.67,23.76292650006947,1303.77,1474.605,3592.0,700.282,2498.205,1674.096
BARAJAS,48646,4192.28,11.60370967588043,1882.475,2268.551,2507.0,379.836,3060.355,2607.051
