distrito,poblacion,superficie_ha,densidad
CENTRO,139687,522.82,267.17990895528095
ARGANZUELA,153304,646.22,237.23190244808268
RETIRO,117918,546.62,215.72207383557134
SALAMANCA,145702,539.24,270.19879830873083
CHAMARTÍN,144796,917.55,157.80720396708628
TETUÁN,160002,537.47,297.69475505609614
CHAMBERÍ,138204,467.92,295.35818088562144
FUENCARRAL-EL PARDO,248443,23783.84,10.445874173388317
MONCLOA-ARAVACA,121757,4653.11,26.166800269067355
LATINA,241672,2542.72,95.04467656682608
CARABANCHEL,262339,1404.83,186.7407444317106
USERA,142746,777.77,183.53240675263896
PUENTE DE VALLECAS,241603,1496.86,161.40654436620662
MORATALAZ,92814,610.32,152.07432166732204
CIUDAD LINEAL,220345,1142.57,192.8503286450721
HORTALEZA,198391,2741.98,72.35319003056186
VILLAVERDE,159038,2018.76,78.78004319483247
VILLA DE VALLECAS,117501,5146.72,22.830268598252868
VICÁLVARO,83804,3526.67,23.76292650006947
SAN BLAS-CANILLEJAS,161219,2229.24,72.32016292548134
BARAJAS,48646,4192.28,11.60370967588043
